time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer
2.02,Utility Enemy 10,Utility,AttackAction,None,1.00,31.0,0
2.02,Utility Enemy 12,Utility,AttackAction,None,1.00,34.4,0
2.02,Utility Enemy 6,Utility,AttackAction,None,1.00,41.4,0
2.02,Utility Enemy 1,Utility,AttackAction,None,1.00,84.1,0
2.02,Utility Enemy 7,Utility,AttackAction,None,1.00,42.8,0
2.02,Utility Enemy 11,Utility,AttackAction,None,1.00,33.0,0
2.02,Utility Enemy 13,Utility,AttackAction,None,1.00,49.9,0
2.02,Utility Enemy 15,Utility,AttackAction,None,1.00,79.7,0
2.02,Utility Enemy 5,Utility,AttackAction,None,1.00,83.8,0
2.02,Utility Enemy 2,Utility,AttackAction,None,1.00,84.4,0
2.02,Utility Enemy 8,Utility,AttackAction,None,1.00,76.9,0
2.02,Utility Enemy 4,Utility,AttackAction,None,1.00,62.3,0
2.02,Utility Enemy 14,Utility,AttackAction,None,1.00,51.1,0
2.02,Utility Enemy 3,Utility,AttackAction,None,1.00,63.3,0
2.52,Player,Player,-,None,1.00,,0
2.52,FSM Enemy 12,FSM,PatrolState,None,1.00,35.5,0
2.52,FSM Enemy 15,FSM,PatrolState,None,1.00,25.5,0
2.52,FSM Enemy 13,FSM,PatrolState,None,1.00,45.3,0
2.52,FSM Enemy 4,FSM,PatrolState,None,0.90,49.1,0
2.52,FSM Enemy 6,FSM,PatrolState,None,0.80,37.1,0
2.52,FSM Enemy 7,FSM,PatrolState,None,1.00,22.9,0
2.52,FSM Enemy 3,FSM,PatrolState,None,0.90,76.7,0
2.52,FSM Enemy 5,FSM,PatrolState,None,1.00,66.6,0
2.52,FSM Enemy 8,FSM,PatrolState,None,1.00,44.2,0
2.52,FSM Enemy 9,FSM,PatrolState,None,1.00,33.1,0
2.52,FSM Enemy 11,FSM,PatrolState,None,0.90,37.3,0
2.52,FSM Enemy 2,FSM,PatrolState,None,1.00,93.1,0
2.52,FSM Enemy 10,FSM,PatrolState,None,1.00,67.8,0
2.52,FSM Enemy 1,FSM,PatrolState,None,1.00,92.0,0
2.52,FSM Enemy 14,FSM,PatrolState,None,1.00,81.2,0
2.52,Utility Enemy 9,Utility,AttackAction,None,1.00,47.4,0
2.52,Utility Enemy 10,Utility,AttackAction,None,1.00,33.4,0
2.52,Utility Enemy 12,Utility,AttackAction,None,1.00,36.7,0
2.52,Utility Enemy 6,Utility,AttackAction,None,1.00,39.0,0
2.52,Utility Enemy 1,Utility,AttackAction,None,1.00,83.4,0
2.52,Utility Enemy 7,Utility,AttackAction,None,1.00,45.1,0
